anno,round,nome_gran_premio,location,data_gara
2025,0,Pre-Season Testing,Sakhir,
2025,1,Australian Grand Prix,Melbourne,2025-03-16
2025,2,Chinese Grand Prix,Shanghai,2025-03-23
2025,3,Japanese Grand Prix,Suzuka,2025-04-06
2025,4,Bahrain Grand Prix,Sakhir,2025-04-13
2025,5,Saudi Arabian Grand Prix,Jeddah,2025-04-20
2025,6,Miami Grand Prix,Miami,2025-05-04
2025,7,Emilia Romagna Grand Prix,Imola,2025-05-18
2025,8,Monaco Grand Prix,Monaco,2025-05-25
2025,9,Spanish Grand Prix,Barcelona,2025-06-01
2025,10,Canadian Grand Prix,Montréal,2025-06-15
2025,11,Austrian Grand Prix,Spielberg,2025-06-29
2025,12,British Grand Prix,Silverstone,2025-07-06
2025,13,Belgian Grand Prix,Spa-Francorchamps,2025-07-27
2025,14,Hungarian Grand Prix,Budapest,2025-08-03
2025,15,Dutch Grand Prix,Zandvoort,2025-08-31
2025,16,Italian Grand Prix,Monza,2025-09-07
2025,17,Azerbaijan Grand Prix,Baku,2025-09-21
2025,18,Singapore Grand Prix,Marina Bay,2025-10-05
2025,19,United States Grand Prix,Austin,2025-10-19
2025,20,Mexico City Grand Prix,Mexico City,2025-10-26
2025,21,São Paulo Grand Prix,São Paulo,2025-11-09
2025,22,Las Vegas Grand Prix,Las Vegas,2025-11-22
2025,23,Qatar Grand Prix,Lusail,2025-11-30
2025,24,Abu Dhabi Grand Prix,Yas Island,2025-12-07
